state,action_0,action_1,action_2,action_3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,-0.5791000000000001,-0.42000000000000004,-0.49100000000000005,-0.4
4,-0.5991000000000001,-0.42000000000000004,-0.4000000000000001,-0.5810000000000001
5,-0.8415272050000002,-0.8400000000000003,-0.7000000000000002,-0.8000000000000002
6,0.0,0.0,0.0,0.0
7,-0.9080000000000001,-0.6200000000000001,-0.8000000000000002,-0.9000000000000001
8,0.0,0.0,0.0,0.0
9,-1.1711,-0.8200000000000001,-0.9000000000000001,-0.8
10,-1.1711,-0.8200000000000001,-0.9000000000000001,-0.8
11,-2.1475909,-2.0500000000000003,-2.0879000000000003,-2.0000000000000004
12,-0.41463000000000005,-0.42000000000000004,-0.4000000000000001,-0.4
13,-0.399,-0.21000000000000002,-0.30000000000000004,-0.4
14,-0.7030710000000001,-0.8400000000000003,-0.8775190000000003,-0.8000000000000002
15,-0.5690000000000001,-0.31000000000000005,-0.4,-0.6000000000000001
16,-0.5690000000000001,-0.31000000000000005,-0.4,-0.30000000000000004
17,-0.5531000000000001,0.0,0.0,0.0
18,-1.1111,-0.8200000000000001,-0.9000000000000001,-0.8
19,-1.5988545699999999,-1.6400000000000001,-1.5000000000000004,-1.6000000000000003
20,-0.7789999999999999,-0.41,-0.6000000000000001,-0.8
21,0.0,0.0,0.0,0.0
22,-0.51,0.0,0.0,0.0
23,-0.51,0.0,0.0,0.0
24,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
25,-0.31000000000000005,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,-0.729,-0.41,-0.30000000000000004,-0.4
28,-0.7789999999999999,-0.41,-0.6000000000000001,-0.8
29,-1.1111,-0.8200000000000001,-0.9000000000000001,-0.8
30,-0.51,0.0,0.0,0.0
31,-1.6632790000000002,-1.5249000000000001,-1.6000000000000003,-1.5
32,0.0,0.0,0.0,0.0
33,-1.55449,-1.2200000000000002,-1.5,-1.7929000000000004
34,-2.281191,-2.4400000000000004,-2.4560000000000004,-2.4000000000000004
35,-1.13679,-0.61,-1.0,-1.2000000000000002
36,-1.417516075,-1.6400000000000001,-1.5000000000000004,-1.6000000000000003
37,-0.7736700815,-0.8200000000000001,-0.9000000000000001,-0.8
38,-0.35865656895051123,-0.8200000000000001,-0.9000000000000001,-0.8
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,-0.61,0.0,0.0,0.0
43,-0.61,0.0,0.0,0.0
44,-1.5879780000000001,-1.2200000000000002,-1.5,-1.2000000000000002
45,0.0,0.0,0.0,0.0
46,-2.26169,-2.13,-2.4000000000000004,-2.1000000000000005
47,-0.71,0.0,0.0,0.0
